,local_loss,test_loss
16600,99.73388671875,100.25753021240234
33800,126.80021667480469,125.78683471679688
50100,155.58448791503906,154.0463409423828
65000,95.49987030029295,95.52640533447266
82600,113.72318267822266,114.38092803955078
97400,99.06314086914062,98.60393524169922
113800,105.46127319335938,105.072265625
128700,110.92058563232422,110.87561798095705
144100,108.60456848144531,107.8164291381836
159000,97.54983520507812,97.9751434326172
174400,145.39820861816406,144.8052520751953
190300,119.0261001586914,117.1933822631836
206900,107.11776733398438,107.04788970947266
222300,89.6114730834961,89.73670959472656
235600,97.68917083740234,97.01696014404295
250400,116.1689224243164,114.9687957763672
268700,123.8018035888672,124.12117004394531
284900,117.4388656616211,117.7738800048828
299400,91.45223999023438,92.48021697998048
315500,153.0017852783203,152.7068634033203
330100,61.37145614624024,61.87405776977539
346200,80.91153717041016,81.15733337402344
361900,119.5800552368164,120.85022735595705
376600,100.86067199707031,101.57891845703124
391300,88.44322204589844,87.82324981689453
405200,82.55746459960938,81.54701232910156
420600,97.62113189697266,97.6677017211914
437000,131.64413452148438,131.58056640625
454700,90.4897918701172,90.52349853515624
471000,108.73078918457031,108.51841735839844
489000,119.79032135009766,119.00025177001952
504300,106.04747009277344,105.42337036132812
518900,105.9724349975586,105.98963165283205
534700,105.13214111328124,105.1997299194336
549700,111.1142349243164,111.14002990722656
566400,78.39836883544922,78.33493041992188
580400,57.44569396972656,57.45058059692383
596400,107.04680633544922,106.37256622314452
613000,91.00443267822266,90.58953094482422
631000,129.69981384277344,129.82878112792972
646800,144.55007934570312,144.68490600585938
663100,126.1375503540039,125.61024475097656
680600,96.97663116455078,96.4374008178711
696300,108.53553771972656,107.32508087158205
713900,105.27555847167969,105.32875061035156
730500,81.44111633300781,80.93790435791016
747000,95.06301879882812,95.15105438232422
761800,97.5658187866211,97.16046905517578
777600,106.466064453125,107.40206909179688
793700,90.70089721679688,91.86327362060548
809800,89.30394744873047,89.07373046875
824900,71.21846008300781,72.36672973632812
841300,92.97806549072266,92.83223724365234
857900,79.36015319824219,80.69049072265625
873900,98.78826141357422,98.92193603515624
889200,152.0443572998047,151.91392517089844
907000,149.06837463378906,149.31101989746094
924400,134.68780517578122,136.1949462890625
939100,96.1550750732422,96.80894470214844
955500,87.7811050415039,88.2982406616211
970800,134.63111877441406,135.12185668945312
989300,122.65711212158205,121.5963897705078
1002100,55.828956604003906,55.02079772949219
1020000,133.57144165039062,132.53085327148438
1037500,119.1194305419922,119.51293182373048
1052000,51.5955810546875,51.36397933959961
1067500,111.99267578125,112.46382904052734
1084100,132.75666809082028,133.581787109375
1099800,126.08611297607422,125.78132629394531
1115400,105.89559936523438,106.59906005859376
1132400,102.02053833007812,101.5266571044922
1147400,55.00169372558594,54.49517059326172
1162800,89.7208023071289,89.2302017211914
1179600,100.88619995117188,101.1077651977539
1196300,105.21711730957031,105.20860290527344
1213200,117.38689422607422,116.86788177490234
1229900,123.40997314453124,124.39771270751952
1245500,108.56137084960938,109.49008178710938
1261400,117.63270568847656,116.317626953125
1279700,94.20095825195312,94.1728057861328
1297100,118.48516845703124,117.72313690185548
1312300,85.62997436523438,84.50567626953125
1327900,68.18289184570311,67.94541168212889
1344600,127.28327178955078,127.91447448730469
1361200,131.71173095703122,131.51673889160156
1377200,60.91923904418945,60.7894401550293
1394100,92.47052001953124,91.82202911376952
1409700,125.52529907226562,125.55284118652344
1426900,108.40471649169922,108.39704132080078
1444100,110.0387954711914,109.25035095214844
1459800,130.75169372558594,129.77613830566406
1475500,101.26841735839844,102.1091537475586
1492300,128.33486938476562,127.55183410644531
1507500,82.4939193725586,82.45686340332031
1526700,123.61196899414062,123.24903106689452
1541500,99.23263549804688,100.16818237304688
1558100,81.25752258300781,79.97694396972656
1575800,137.95791625976562,138.46771240234378
1590600,58.09891128540039,58.549278259277344
1604900,132.81605529785156,133.397705078125
