,local_loss,test_loss
45100,92.10423278808594,92.57527160644531
87500,102.32744598388672,102.07884216308594
140400,93.41913604736328,93.41793060302734
181800,87.30177307128906,87.37305450439453
220800,104.82408142089844,104.7463836669922
260900,103.07538604736328,102.4619140625
308800,138.55035400390622,138.20736694335938
348500,112.876953125,112.40503692626952
384300,124.21593475341795,124.18350982666016
427000,95.1219711303711,94.58755493164062
473700,63.09952163696289,63.78277206420898
528600,52.11988067626953,51.87942886352539
568600,41.1899642944336,40.90231323242188
619400,36.38134765625,35.81466293334961
664900,37.20887756347656,37.82137680053711
694900,50.21839904785156,50.574256896972656
747200,63.87302780151367,63.98411178588867
776200,42.41799545288086,41.80799102783203
822800,55.06754684448242,55.17831039428711
847700,38.03182601928711,39.10934066772461
888000,74.93486785888672,74.82032012939453
929600,88.94747924804688,89.89053344726562
973000,120.01134490966795,121.10279083251952
1013500,111.96036529541016,111.44540405273438
1056400,101.8936538696289,102.03925323486328
1099600,124.15265655517578,123.48591613769531
1141900,97.5491180419922,98.2493133544922
1186400,109.9662857055664,110.61368560791016
1231300,84.85309600830078,85.20646667480469
1278800,72.7861328125,73.88983154296875
1323100,97.41969299316406,97.11927795410156
1368000,81.29129791259766,81.14059448242188
1409800,91.44319915771484,91.37445068359376
1453400,114.95281219482422,114.03618621826172
1497200,106.9454574584961,106.09414672851562
1539900,61.62140655517578,61.30617904663086
1582800,103.22443389892578,102.88575744628906
1632600,107.05308532714844,107.15499877929688
1681700,118.65130615234376,119.07300567626952
1725500,84.65628814697266,83.95863342285156
1767600,81.10585021972656,81.1029052734375
1805200,78.34650421142578,78.28944396972656
1847400,94.80149841308594,94.6999969482422
1893300,113.74352264404295,114.48568725585938
1947800,99.71427154541016,99.83981323242188
1985400,77.10145568847656,77.64009857177734
2024000,107.67023468017578,108.26045989990234
2078000,90.04085540771484,90.58888244628906
2122000,82.58556365966797,83.10509490966797
2166700,74.3714599609375,74.09375762939453
2207300,101.10201263427734,100.89427185058594
2245900,84.9052505493164,84.67282104492188
2300400,120.5008773803711,120.7303466796875
2342400,101.49205017089844,101.98323059082031
2382300,86.01604461669922,85.86817932128906
2418700,66.18997192382811,66.17329406738281
2457400,110.11744689941406,111.15277862548828
2488700,86.26589965820312,86.26078033447266
2539700,135.1136474609375,134.89155578613278
2577700,108.25237274169922,108.38136291503906
2624400,109.86264038085938,110.09185028076172
2663100,81.89990234375,81.9020004272461
2687300,107.29582977294922,107.23087310791016
2726600,70.79415130615234,70.09782409667969
2763700,117.3987045288086,118.55501556396484
2799600,87.2992935180664,87.78369903564453
2833800,97.3748016357422,97.24373626708984
2883200,91.6939468383789,91.52310180664062
2925300,96.66397857666016,96.08392333984376
2973500,97.74907684326172,98.5038070678711
3011700,96.19566345214844,96.28379821777344
3057300,83.02386474609375,82.58428192138672
3092800,93.15503692626952,93.2700653076172
3132700,76.17923736572266,76.01091766357422
3165700,73.90226745605469,73.55278015136719
3211900,60.7529525756836,61.31786346435547
3256100,74.68138885498047,74.23410034179688
3301100,73.79845428466797,73.97705078125
3342700,88.23255920410156,87.85991668701172
3389700,65.41392517089844,65.35488128662111
3432800,87.76846313476562,87.1889419555664
3473500,100.97239685058594,100.33586883544922
3516100,75.12344360351562,74.83365631103516
3558000,108.331787109375,108.33663177490234
3600700,91.4717788696289,90.48688507080078
3636500,123.65005493164062,124.1591567993164
3682200,78.4334487915039,77.68318939208984
3724400,115.29591369628906,114.3148193359375
3759500,128.80941772460938,128.98715209960938
3809800,110.95960998535156,110.81659698486328
3858200,75.70730590820312,75.45272064208984
3889700,75.19357299804688,75.69741821289062
3927500,71.7537612915039,71.42317962646484
3970400,76.29728698730469,76.0107421875
4017900,77.88306427001953,78.16716003417969
4057100,84.29169464111328,84.5663833618164
4098100,82.76473236083984,83.38389587402344
4138600,82.84854125976562,82.50393676757812
4183800,73.0141830444336,73.23208618164062
4222400,95.5736083984375,95.69871520996094
