,test_loss
20499,107.88414001464844
41899,112.59481811523438
62499,103.75341796875
81099,92.4051284790039
100599,114.4831085205078
118299,116.925537109375
138399,154.8994598388672
159199,124.3386001586914
179599,131.57658386230472
198899,104.9765853881836
217399,68.7855224609375
237299,58.83929061889648
253899,48.978759765625
270899,43.40135192871094
285799,40.769474029541016
303199,54.35954666137695
320599,72.0213851928711
338499,47.16436004638672
357099,61.30405807495117
376599,40.37732315063477
397299,83.86788177490234
416099,100.59054565429688
435299,135.44047546386722
453299,123.5208511352539
470599,115.8064193725586
491499,127.80555725097656
510799,107.32583618164062
531899,117.4576644897461
549999,101.2345962524414
566099,77.67610931396484
585699,109.16494750976562
602799,90.13988494873048
621299,102.02904510498048
639499,128.75776672363278
658499,123.45263671875
675599,72.1676025390625
695799,113.2812271118164
714899,123.4799575805664
734499,135.96949768066406
751799,95.14502716064452
770999,89.0
787999,83.10626220703125
806299,104.31322479248048
824299,130.03775024414062
843199,109.75033569335938
861199,84.37429809570312
878699,115.2932357788086
896799,102.81637573242188
917099,94.5957489013672
936899,81.9627914428711
954299,113.97702026367188
972699,90.76126098632812
991899,130.61610412597656
1010699,114.63878631591795
1028899,99.0014419555664
1046699,75.97639465332031
1066199,120.78158569335938
1082799,95.1826171875
1103299,141.9584503173828
1123699,122.36663818359376
1143799,119.56707000732422
1162899,92.1598663330078
1182699,113.2509307861328
1204599,84.83068084716797
1221999,123.15806579589844
1240299,92.79161834716795
1256499,113.08568572998048
1276599,103.28816223144531
1296599,104.07341766357422
1314699,102.41407012939452
1335599,109.55422973632812
1355299,95.08795166015624
1372099,102.4970474243164
1390399,83.78693389892578
1408399,83.63906860351562
1426199,67.19293212890625
1443099,84.25324249267578
1462399,84.2059097290039
1482699,101.98797607421876
1502599,76.37051391601562
1526399,100.6028060913086
1544599,114.6974639892578
1563799,85.78947448730469
1584399,112.5447769165039
1600199,103.30894470214844
1621299,137.77442932128906
1638599,88.76994323730469
1656699,129.57994079589844
1675699,135.47206115722656
1695699,128.24313354492188
1713099,86.12921142578125
1729499,79.99034881591797
1746799,81.40595245361328
1765799,86.88463592529297
1781799,87.84922790527344
1800299,97.19556427001952
1816499,93.98074340820312
1832799,88.05480194091797
1852899,85.36177062988281
1871899,107.90861511230469
