,test_loss
18599,84.45466613769531
35599,49.6606674194336
53899,105.71076965332031
73999,95.57414245605469
91399,95.13410186767578
111699,116.1181869506836
129499,105.70943450927734
148399,134.62406921386722
164899,92.46477508544922
185199,112.64892578125
203399,89.78633117675781
222299,84.8623046875
239999,102.65338897705078
259099,115.96912384033205
279199,97.8952407836914
296799,39.79090881347656
315099,90.39934539794922
334899,103.21246337890624
356299,116.18396759033205
377499,123.017822265625
397399,135.78950500488278
415399,108.18143463134766
434499,96.83893585205078
453399,124.92467498779295
470999,101.69412994384766
488499,78.52747344970703
508299,87.44570922851562
524099,43.2293815612793
542999,107.9954071044922
561699,104.99791717529295
578999,98.62698364257812
597999,118.2680206298828
617599,90.46397399902344
637599,119.61055755615234
659099,119.25177001953124
674599,55.81466674804688
691599,87.87377166748047
711399,85.45272827148438
728599,103.9767837524414
747399,120.58872985839844
765899,106.900146484375
782999,97.47663879394531
798299,57.10739135742188
816199,99.09466552734376
834699,102.7291488647461
853999,109.15673065185548
875399,117.73123931884766
895799,118.13388061523438
915099,92.77236938476562
935399,84.82750701904297
953299,86.66145324707031
971799,128.90455627441406
989799,90.0829849243164
1009599,93.75142669677734
1030399,97.5444107055664
1050599,129.53636169433594
1071799,146.293701171875
1091999,80.44761657714844
1109299,143.10089111328125
1127299,68.55670166015625
1147499,111.6810073852539
1163599,92.61466979980469
1182299,111.4193344116211
1200099,57.69569396972656
1217999,72.80525207519531
1236799,67.95695495605469
1254099,74.37843322753906
1271899,109.42198944091795
1292299,115.98576354980469
1311199,87.12967681884766
1330599,119.8614273071289
1347599,51.39764785766602
1367799,124.48802947998048
1387499,112.59144592285156
1404599,52.03683471679688
1422099,109.12552642822266
1443599,109.03661346435548
1460999,58.67121124267578
1480799,103.54670715332031
1498099,97.1349639892578
1515899,79.1919174194336
1533399,106.33921813964844
1553499,90.46781158447266
1571999,119.78874206542969
1591599,113.81536102294922
1611399,106.61359405517578
1629099,112.01603698730469
1647199,92.7945327758789
1666499,79.18873596191406
1687899,86.53451538085938
1707599,107.0893096923828
1728599,96.39540100097656
1749199,106.4990234375
1766599,131.49813842773438
1782699,104.9165267944336
1802399,117.53546905517578
1822199,127.34921264648438
1839299,90.56068420410156
1858599,125.6598663330078
1876299,98.57241821289062
