,local_loss,test_loss
18000,116.42679595947266,117.54080963134766
39000,80.21647644042969,81.4841537475586
54800,80.30221557617188,80.69457244873047
74000,118.24868774414062,118.43946075439452
93300,114.01727294921876,112.76986694335938
110100,94.63790130615234,94.25899505615234
127900,81.94796752929688,82.03302001953125
147800,112.65491485595705,112.97335052490234
166900,99.17514038085938,99.4562759399414
184500,112.98616027832031,111.86829376220705
200600,105.21343994140624,104.4995346069336
221900,95.62820434570312,95.27960968017578
239400,100.00111389160156,100.37718963623048
258100,104.17462921142578,102.5741958618164
277400,83.52104187011719,83.58733367919922
298500,102.4626922607422,101.91326904296876
318900,76.8922348022461,76.86587524414062
339000,96.2555694580078,96.84229278564452
356700,84.08235168457031,84.24478149414062
374900,100.9429702758789,101.7397689819336
392800,98.18651580810548,98.1247787475586
409000,45.43243789672852,45.5626106262207
426600,70.03292083740234,69.97500610351561
447700,112.31909942626952,112.33120727539062
468600,130.85221862792972,131.07388305664062
486500,78.54381561279297,78.32210540771484
504900,59.97654724121094,60.01237869262695
522900,62.90869140625,62.67707824707031
541500,117.132568359375,116.90715026855469
562200,137.40069580078122,137.53363037109378
582000,98.00041961669922,97.87528228759766
601500,82.7771224975586,82.08293151855469
619700,94.54579162597656,93.34723663330078
639800,112.07213592529295,112.31048583984376
658400,91.8951187133789,91.74313354492188
676600,81.3958511352539,81.37574768066406
697400,92.58586883544922,92.71139526367188
716900,90.10030364990234,89.76480102539062
734400,92.28700256347656,92.2742691040039
753700,124.43314361572266,124.9130401611328
771700,88.91375732421875,88.34762573242188
794200,119.4823226928711,119.6167984008789
812200,120.7796401977539,120.52131652832031
831500,85.5721206665039,85.1257553100586
849600,91.18902587890624,92.50945281982422
866600,69.27576446533203,68.61221313476561
884900,110.97859191894531,112.082763671875
905600,91.6512222290039,92.81546783447266
922300,95.41912841796876,95.72554779052734
940900,115.18680572509766,115.3516616821289
957200,55.40675735473633,55.49707412719727
978400,114.25822448730469,113.75798034667969
997400,103.4967803955078,102.32530212402344
1014900,100.09123992919922,100.6076889038086
1033100,117.7448501586914,118.26828002929688
1049800,80.21540832519531,79.74600982666016
1070100,128.3658447265625,128.46307373046878
1090000,111.1291046142578,110.30817413330078
1108300,84.01260375976562,83.5068359375
1125900,116.33154296875,116.29398345947266
1145200,116.84646606445312,116.99496459960938
1163900,88.18352508544922,87.29487609863281
1179500,79.18330383300781,79.79430389404297
1198500,102.85348510742188,102.4201202392578
1218300,111.27046966552734,110.88846588134766
1237800,76.68811798095703,75.94779205322266
1255500,86.36827087402344,85.53083038330078
1277200,97.64644622802734,97.28057861328124
1295800,100.14347839355469,100.48441314697266
1312500,46.78524780273438,46.281333923339844
1332800,73.37971496582031,73.79322814941406
1351400,65.00171661376953,64.98146057128906
1371900,106.23682403564452,106.27479553222656
1390500,90.13235473632812,89.390625
1410500,111.05531311035156,110.28804779052734
1429500,92.8409194946289,93.5645523071289
1447100,91.05856323242188,91.05106353759766
1467400,104.6494369506836,104.59549713134766
1484800,123.01778411865234,123.32234191894531
1503200,96.59196472167969,95.60662841796876
1520700,91.4131088256836,90.87730407714844
1536300,83.86739349365234,84.71675109863281
1555900,106.77706146240234,105.59738159179688
1575700,101.5319595336914,101.99371337890624
1594600,79.08185577392578,79.43168640136719
1612700,70.29501342773439,71.18767547607422
1627600,42.716529846191406,42.630027770996094
1646200,81.52852630615234,82.37617492675781
1662500,100.68115997314452,101.1867446899414
1681600,98.2018814086914,97.988525390625
1701300,112.47200012207031,112.15042877197266
1718200,39.63121032714844,38.38177108764648
1737400,92.76097869873048,93.47486114501952
1756300,116.34494018554688,116.67371368408205
1777000,81.58092498779297,81.62553405761719
1793100,48.47032165527344,47.97517395019531
1811500,82.14242553710938,82.168212890625
1829700,79.91585540771484,80.28956604003906
1848100,69.64890289306639,69.39785003662111
1866900,100.1946792602539,99.08645629882812
