,local_loss,test_loss
24100,464.6037292480469,465.5445251464844
48100,978.3533935546876,979.1004638671876
70600,572.6119995117188,572.4830322265625
96900,747.294189453125,747.7275390625
120800,1165.156982421875,1164.16259765625
148400,382.75006103515625,382.84698486328125
173400,673.208740234375,674.4915771484375
197800,772.6688842773438,771.5037231445312
222000,574.3268432617188,573.6119384765625
247100,777.38232421875,777.0926513671875
273000,1138.3760986328125,1138.381591796875
296300,506.6239318847656,506.3010559082031
321000,1225.8719482421875,1225.4754638671875
344500,634.2626953125,634.1395263671875
367300,498.7155456542969,499.61126708984375
391600,1060.066162109375,1059.8804931640623
416700,686.1921997070312,684.8287353515625
440100,497.3608093261719,497.3514099121094
465100,1348.703125,1349.578125
489400,966.9860229492188,967.4462890625
513700,923.7724609375,922.0973510742188
537300,787.5291748046875,786.4729614257812
560800,892.8318481445312,891.8167114257812
585100,680.1044311523438,679.4675903320312
609400,590.9635009765625,590.8551635742188
635700,639.9610595703125,640.986328125
661200,1246.9036865234375,1248.4268798828125
687200,505.4259948730469,506.65435791015625
711100,945.2171630859376,946.0673828125
736600,814.3893432617188,814.6992797851562
761400,1034.373046875,1033.8135986328123
785800,703.8275146484375,703.6187133789062
811100,1185.9190673828125,1185.8277587890625
834800,894.4500732421875,895.2835693359375
860600,632.3259887695312,630.8357543945312
885300,760.1594848632812,760.2942504882812
911000,1344.988037109375,1345.9835205078125
936200,775.2598266601562,775.505859375
960200,1123.0391845703123,1122.911865234375
986200,752.387939453125,752.5437622070312
1011800,836.117919921875,836.1256103515625
1034400,652.1046142578125,651.4853515625
1060000,1172.14306640625,1172.071533203125
1085900,838.571044921875,838.3455810546875
1111800,1054.0855712890623,1054.8699951171877
1137400,642.1552734375,642.8831787109375
1161600,577.9080200195312,578.043212890625
1187400,710.5806884765625,709.4393310546875
1212000,1126.0811767578125,1126.7144775390625
1237700,674.3360595703125,674.0359497070312
1262600,772.3737182617188,773.78125
1288200,977.9177856445312,978.4032592773438
1313900,753.33349609375,754.4729614257812
1341000,726.9609375,727.9251098632812
1365200,854.8426513671875,854.9293823242188
1388400,650.8973388671875,650.8773193359375
1412500,608.542236328125,608.7564086914062
1435400,896.4507446289062,896.0531005859375
1460500,736.8899536132812,737.0908203125
1486100,846.20068359375,846.6217041015625
1511300,630.9724731445312,631.969970703125
1535400,709.7626953125,708.8823852539062
1561300,632.4189453125,631.773681640625
1585600,737.4542846679688,738.0471801757812
1608800,663.165771484375,662.087646484375
1632000,809.902587890625,809.4595947265625
1653800,720.4115600585938,720.2698974609375
1680000,1157.4219970703125,1158.4859619140625
1703700,985.9754638671876,986.5101928710938
1728700,856.191162109375,856.5851440429688
1751100,762.3729248046875,762.8003540039062
1778100,675.8932495117188,676.4116821289062
1803700,1236.041748046875,1236.0040283203125
1828000,676.9579467773438,676.8887329101562
1851800,1290.4957275390625,1290.3382568359375
1875600,522.1012573242189,522.1487426757811
1899400,624.4537963867188,624.317626953125
1923700,761.3037109375,761.8469848632812
1949500,1000.4500732421876,1000.5714111328124
1972100,593.1561279296875,593.484375
1997400,763.5598754882812,763.9210815429688
2023200,598.6464233398438,598.2946166992188
2048200,1292.9296875,1293.7786865234375
2073000,1219.4833984375,1220.2664794921875
2097600,870.6390380859375,869.64404296875
2121600,782.0796508789062,782.4913940429688
2144400,373.97015380859375,373.6369934082031
2167800,751.3575439453125,750.9827270507812
2194000,1035.75048828125,1035.035400390625
2217900,930.3854370117188,930.3735961914062
2243300,383.12628173828125,383.4306945800781
2267000,611.5795288085938,612.9909057617188
2292100,749.4722290039062,750.9645385742188
2316400,519.566162109375,519.5443115234375
2341200,743.1398315429688,743.0534057617188
2365700,884.8611450195312,886.2804565429688
2389900,623.51953125,623.7094116210938
2415300,1029.5867919921877,1029.9599609375
2439000,941.53662109375,941.8088989257812
2465100,835.0858154296875,836.2693481445312
