,local_loss,test_loss
16200,565.9674682617188,566.5310668945312
22200,1261.749755859375,1261.752197265625
30300,858.7008666992188,859.8043823242188
40300,990.8416748046876,989.9151611328124
50400,448.41741943359375,447.8000793457031
59100,532.7435913085939,532.4967651367189
69700,471.65716552734375,470.7596740722656
78200,981.1046752929688,980.7249755859376
86900,763.4620971679688,763.0843505859375
100800,642.6589965820312,641.0059204101562
111400,723.8995361328125,725.2481079101562
119300,1049.1226806640623,1049.013916015625
130600,973.8695068359376,974.5045166015624
142500,1058.629150390625,1059.4765625
154000,849.1419067382812,848.8820190429688
165100,729.6469116210938,728.995849609375
175500,1057.330078125,1056.3648681640623
190300,1107.78857421875,1106.900146484375
198800,1024.392578125,1024.400390625
208300,1197.9036865234375,1198.78173828125
216600,1107.339599609375,1107.1455078125
225500,535.302001953125,533.9013671875
240600,474.5623474121094,475.9328918457031
247800,1095.60009765625,1096.713623046875
264900,502.1476745605469,501.5615234375
273200,837.5101318359375,838.0532836914062
282200,870.3473510742188,870.7207641601562
293100,618.271484375,617.365234375
304900,472.53216552734375,472.000732421875
317800,998.540771484375,998.4396362304688
328500,578.7721557617188,578.881103515625
333600,717.6219482421875,717.1203002929688
349100,376.7348327636719,375.3824768066406
363000,562.637939453125,560.4883422851561
374300,980.380615234375,980.0916748046876
385500,844.814697265625,844.7941284179688
394300,782.73974609375,782.126953125
403000,920.8650512695312,921.8897705078124
412600,825.933349609375,827.2973022460938
425300,1275.422607421875,1274.3902587890625
435400,469.7038269042969,468.4166259765625
450100,268.237548828125,267.45654296875
464500,643.9129638671875,644.720947265625
473400,1328.529296875,1328.6580810546875
486600,808.2623901367188,808.3944091796875
492100,1007.395263671875,1007.2493286132812
502700,929.5357666015624,929.509033203125
510500,1126.939697265625,1127.108154296875
519300,684.0996704101562,683.7776489257812
528100,943.7860107421876,942.5064697265624
539300,632.9450073242188,631.6842041015625
545500,953.3846435546876,952.5090942382812
558600,1058.0750732421877,1057.9632568359377
570100,782.4288940429688,782.841552734375
577000,1103.2574462890623,1103.3828125
591700,966.4138793945312,965.028564453125
603400,876.2086791992188,878.320556640625
610800,847.149658203125,847.73779296875
618300,718.5543823242188,717.649658203125
630000,782.3652954101562,782.0899658203125
636200,976.5565185546876,977.4283447265624
645100,1285.34716796875,1284.85546875
652600,500.7584228515625,500.9757690429688
663700,848.5549926757812,847.9906005859375
675600,815.0045166015625,815.9378051757812
684800,749.9362182617188,749.7467651367188
691300,982.7780151367188,981.1311645507812
700100,945.0151977539062,944.63671875
708600,716.1326904296875,715.5946044921875
715300,1412.792724609375,1412.449951171875
727600,1011.7828979492188,1012.4703979492188
735400,895.9158325195312,895.0464477539062
748200,710.1741333007812,709.3995361328125
756300,707.4915771484375,707.582275390625
766200,1142.3726806640625,1142.0621337890625
775700,1059.212890625,1060.44189453125
786700,779.8772583007812,779.3612060546875
798200,724.681884765625,726.2266845703125
808100,1166.1624755859375,1165.86279296875
820900,543.4063720703125,540.5578002929689
829500,904.9489135742188,903.9287109375
841900,640.2301635742188,640.4487915039062
857700,359.6293029785156,361.2817993164063
863600,1132.09716796875,1132.3206787109375
876300,590.6777954101562,589.6741333007812
882600,747.0316772460938,747.802490234375
893800,803.8984985351562,804.116943359375
906100,557.83203125,558.2554321289061
914800,660.8320922851562,661.9481811523438
925400,984.9806518554688,986.2989501953124
936100,1206.982666015625,1205.44775390625
951300,569.8521118164062,568.6884765625
964900,1020.5315551757812,1019.9143676757812
976100,766.4234008789062,767.21875
982800,725.8766479492188,727.4647216796875
991300,731.2361450195312,732.1577758789062
999500,895.05029296875,894.18701171875
1014500,651.5770874023438,652.6298828125
1025200,878.2565307617188,880.164306640625
1033400,875.6331176757812,875.3685913085938
