,local_loss,test_loss
22200,91.34877014160156,91.553955078125
43000,101.68757629394531,101.25137329101562
63500,92.93467712402344,92.53783416748048
82800,86.70982360839844,86.85103607177734
101300,105.06843566894531,104.95547485351562
120300,102.56627655029295,102.48607635498048
142200,137.85157775878906,137.55189514160156
163500,111.52710723876952,111.21818542480469
185500,115.95374298095705,116.20044708251952
205200,91.33847045898438,91.3075942993164
223900,62.33277893066406,62.59176635742188
243600,51.99640274047852,52.24528884887695
262700,39.79094314575195,40.11620330810547
282700,36.065574645996094,36.04591751098633
300800,36.99061584472656,36.91656494140625
318200,47.925575256347656,48.53423309326172
336600,63.910194396972656,64.20722961425781
354300,40.53628158569336,39.87910842895508
374400,53.93876647949219,54.107421875
391600,34.72554397583008,34.91540908813477
410600,74.20468139648438,74.46893310546875
429000,88.7769546508789,88.83303833007812
451000,119.17205047607422,119.57677459716795
471300,110.83143615722656,110.560791015625
493200,101.842041015625,102.6038589477539
513500,118.1840362548828,117.51113891601562
535300,94.44229125976562,94.38346862792969
556200,108.6280288696289,108.93561553955078
576300,84.64408874511719,84.46041107177734
594100,72.94857025146484,72.56967163085938
613200,96.64063262939452,96.7263412475586
631600,80.41815185546875,80.44596862792969
654100,89.32546997070312,88.91705322265625
673700,113.99124908447266,113.96060180664062
694800,106.69174194335938,108.03791046142578
713700,61.10117721557617,60.51164627075195
733300,102.36611938476562,102.5741195678711
753400,106.68521118164062,106.34161376953124
771600,118.1667022705078,118.77263641357422
791400,83.72899627685547,84.64518737792969
810500,80.91876220703125,80.64341735839844
826900,76.36891174316406,77.19983673095703
844500,94.87081909179688,93.95507049560548
862000,113.29031372070312,112.438720703125
880800,98.21240234375,98.77423095703124
899700,77.0687026977539,77.17390441894531
919200,106.94031524658205,107.1138153076172
938700,89.58890533447266,89.67170715332031
958500,82.11035919189453,82.3095474243164
977800,74.1688461303711,74.8412094116211
996800,100.966552734375,99.94970703125
1016700,84.30597686767578,84.29924011230469
1036700,119.84469604492188,119.73764038085938
1057800,101.1650848388672,101.25098419189452
1076500,85.16278076171875,84.13993835449219
1095700,66.24606323242189,66.94310760498047
1114000,109.82113647460938,109.89295196533205
1132100,86.54436492919922,86.45661163330078
1152400,134.5687255859375,134.8397216796875
1173600,108.6596221923828,109.57683563232422
1193500,109.05684661865234,109.09231567382812
1212900,81.66576385498047,81.03948974609375
1232700,100.39089965820312,100.36299896240234
1251300,70.94763946533203,71.11476135253906
1269900,117.62388610839844,117.72775268554688
1286700,86.72886657714844,86.49934387207031
1306600,95.41204833984376,94.9174346923828
1327000,90.97813415527344,90.5113296508789
1347600,96.3008270263672,95.9227066040039
1368600,97.23604583740234,97.29833984375
1390300,95.26799774169922,94.5691909790039
1410900,80.91606140136719,80.4969253540039
1430200,92.40409088134766,92.57894897460938
1449100,74.70777130126953,74.48515319824219
1467100,72.7573471069336,73.23741912841797
1486600,59.16891098022461,59.73690414428711
1504900,75.3122787475586,75.9815902709961
1524700,73.38895416259766,73.48382568359375
1545800,86.93501281738281,87.52156066894531
1565500,65.26482391357422,64.92709350585939
1587900,87.05736541748047,86.57604217529297
1608100,100.33866119384766,100.75476837158205
1628100,73.87230682373047,74.0531005859375
1648800,102.05988311767578,101.6754913330078
1668700,91.56970977783205,91.69579315185548
1688600,123.31302642822266,122.93976593017578
1709500,77.23619842529297,76.48899841308594
1728600,114.9106674194336,114.50603485107422
1747300,124.4849090576172,124.58297729492188
1766100,110.56625366210938,110.03160095214844
1785400,75.56851196289062,75.54187774658203
1803100,73.83527374267578,72.87057495117188
1822600,71.57876586914062,71.31868743896484
1842100,76.1257553100586,75.70255279541016
1861800,78.0942611694336,77.66942596435547
1882000,84.5594253540039,84.81365203857422
1900000,82.24540710449219,82.8080062866211
1918700,82.34314727783203,82.44373321533203
1940600,72.32687377929688,72.00174713134766
1959300,94.79719543457031,95.10014343261719
